filename,NOSE_x,NOSE_y,NOSE_score,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_score,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_score,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_score,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_score,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_score,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_score,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_score,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_score,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_score,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_score,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_score,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_score,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_score,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_score,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_score,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_score,class_no,class_name
pose1/pose1train (1).jpg,166.0,81.0,0.82490945,172.0,72.0,0.6787039,171.0,72.0,0.66532505,198.0,77.0,0.69274056,198.0,76.0,0.8149437,218.0,123.0,0.88252664,207.0,121.0,0.93004143,219.0,210.0,0.8891098,211.0,205.0,0.8102664,211.0,280.0,0.93340147,204.0,272.0,0.43896246,213.0,249.0,0.9097492,196.0,242.0,0.8885758,206.0,375.0,0.7830763,89.0,256.0,0.88733464,317.0,344.0,0.93611157,106.0,367.0,0.8032701,0,pose1
pose1/pose1train (10).jpg,1584.0,1015.0,0.61150634,1676.0,946.0,0.30696943,1565.0,910.0,0.5893405,1914.0,1007.0,0.56725466,1657.0,918.0,0.28529122,2081.0,1456.0,0.713562,1502.0,1317.0,0.6482674,2116.0,2166.0,0.7672432,1451.0,1838.0,0.5782065,1938.0,2692.0,0.48184353,1303.0,2278.0,0.5529704,1883.0,2399.0,0.5102297,1561.0,2366.0,0.5627477,1194.0,2800.0,0.6502875,1219.0,2766.0,0.20874336,1518.0,3474.0,0.7584342,1970.0,2715.0,0.41017005,0,pose1
pose1/pose1train (100).jpg,249.0,52.0,0.7629192,257.0,44.0,0.77196246,247.0,44.0,0.7292627,289.0,46.0,0.42898726,260.0,46.0,0.17004304,308.0,100.0,0.8289979,255.0,101.0,0.70135665,363.0,162.0,0.8165331,272.0,163.0,0.32236,313.0,209.0,0.8162291,283.0,205.0,0.35665125,309.0,247.0,0.74599063,261.0,246.0,0.7044513,325.0,380.0,0.78129065,177.0,288.0,0.6811029,425.0,371.0,0.5260556,191.0,409.0,0.7308296,0,pose1
pose1/pose1train (101).jpg,503.0,51.0,0.63196385,500.0,42.0,0.7787492,492.0,42.0,0.6663787,477.0,45.0,0.6956024,461.0,47.0,0.8658939,493.0,99.0,0.8593011,440.0,94.0,0.9102078,469.0,159.0,0.40995723,382.0,163.0,0.94859755,485.0,209.0,0.39422,438.0,210.0,0.821362,483.0,241.0,0.92008924,438.0,243.0,0.8975337,573.0,284.0,0.7633484,426.0,380.0,0.807794,559.0,407.0,0.8666423,329.0,370.0,0.87782013,0,pose1
pose1/pose1train (102).jpg,221.0,75.0,0.7363042,219.0,71.0,0.77646446,220.0,71.0,0.7348201,210.0,71.0,0.65809083,211.0,72.0,0.87780905,196.0,83.0,0.80138046,209.0,83.0,0.66704315,193.0,107.0,0.25144213,209.0,110.0,0.88756025,197.0,123.0,0.20505953,215.0,129.0,0.7262606,172.0,128.0,0.81765985,181.0,130.0,0.8088551,162.0,166.0,0.88271147,220.0,136.0,0.8303829,120.0,167.0,0.9174426,208.0,176.0,0.838081,0,pose1
pose1/pose1train (103).jpg,152.0,74.0,0.8133311,154.0,70.0,0.85321015,154.0,70.0,0.80585223,164.0,72.0,0.82825327,163.0,71.0,0.829374,167.0,83.0,0.6292714,173.0,82.0,0.807022,165.0,111.0,0.6732031,171.0,110.0,0.4170062,160.0,128.0,0.6248538,162.0,127.0,0.34284016,194.0,130.0,0.80007124,200.0,128.0,0.8334341,154.0,138.0,0.85421836,214.0,166.0,0.91323495,167.0,176.0,0.81469315,255.0,167.0,0.8750297,0,pose1
pose1/pose1train (104).jpg,156.0,29.0,0.8285492,159.0,23.0,0.7180942,157.0,24.0,0.7279662,172.0,24.0,0.8045178,169.0,24.0,0.7989496,177.0,44.0,0.9197736,174.0,44.0,0.71195567,191.0,72.0,0.8491881,189.0,70.0,0.6188143,178.0,98.0,0.65186566,176.0,98.0,0.59816796,183.0,108.0,0.85644877,178.0,108.0,0.84102184,196.0,162.0,0.8387311,126.0,111.0,0.84937954,250.0,154.0,0.8492559,123.0,162.0,0.6934687,0,pose1
pose1/pose1train (105).jpg,148.0,45.0,0.6963301,145.0,43.0,0.8281202,146.0,43.0,0.8376389,137.0,46.0,0.8300792,136.0,46.0,0.8181282,133.0,60.0,0.90829754,130.0,60.0,0.90686154,121.0,84.0,0.68262285,117.0,86.0,0.7595389,133.0,104.0,0.55993307,131.0,104.0,0.7175322,135.0,113.0,0.8460758,129.0,114.0,0.93823117,173.0,116.0,0.73002857,118.0,152.0,0.72475535,163.0,158.0,0.74557114,75.0,148.0,0.83670664,0,pose1
pose1/pose1train (106).jpg,151.0,45.0,0.68182135,154.0,42.0,0.7005266,154.0,42.0,0.53653,164.0,46.0,0.7329559,163.0,45.0,0.8473281,169.0,61.0,0.81452537,167.0,60.0,0.8688353,183.0,85.0,0.6707973,178.0,82.0,0.41841373,169.0,105.0,0.6786617,167.0,102.0,0.42935652,170.0,113.0,0.83854425,164.0,111.0,0.74157745,181.0,152.0,0.5984625,128.0,117.0,0.9062524,227.0,146.0,0.9087446,136.0,158.0,0.77430433,0,pose1
pose1/pose1train (107).jpg,1034.0,1285.0,0.72071695,920.0,1286.0,0.71122396,947.0,1311.0,0.7336122,826.0,1552.0,0.8259564,864.0,1579.0,0.720798,1027.0,1604.0,0.42388684,1420.0,2094.0,0.7241968,1660.0,1566.0,0.25066677,2310.0,2226.0,0.7943739,2037.0,1536.0,0.26646376,2923.0,1913.0,0.7806101,2187.0,1436.0,0.6720439,2562.0,1748.0,0.64576125,2332.0,504.0,0.7077627,2350.0,533.0,0.5883003,3055.0,569.0,0.7697877,3081.0,579.0,0.44855252,0,pose1
